ID,feat1,feat2,feat3,rating
1069,5,55,6029,0.06
1070,5,91,5519,0.43
1071,10,77,4098,0.36
1072,5,75,2937,0.74
1073,2,79,2607,0.10
1074,10,90,4647,0.05
1075,6,91,1031,0.89
1076,9,100,6060,0.76
1077,3,94,8461,0.30
1078,9,93,4079,0.70
1079,8,58,7809,0.55
1080,4,89,1230,0.58
1081,2,76,9317,0.09
1082,8,91,9777,0.79
1083,7,78,8875,0.46
1084,6,70,1900,0.64
1085,3,70,1574,0.04
1086,8,79,6002,0.78
1087,1,85,8012,0.50
1088,8,100,5670,0.35
1089,5,85,5939,0.07
1090,4,97,8985,0.70
1091,10,95,2089,0.76
1092,5,77,3239,0.65
1093,9,64,2475,0.38
1094,4,65,5241,0.66
1095,8,65,2302,0.43
1096,6,86,4673,0.03
1097,6,60,6716,0.22
1098,7,97,1019,0.39
1099,2,64,3282,0.21
1100,6,67,3146,0.31
1101,9,91,2209,0.30
1102,4,69,5361,0.04
1103,6,62,3430,0.91
1104,9,89,3410,0.63
1105,10,63,8899,0.80
1106,9,76,3552,0.88
1107,1,75,6707,0.83
1108,2,97,4210,0.28
1109,1,64,6729,0.04
1110,7,89,6107,0.20
1111,1,84,1430,0.01
1112,6,54,4038,0.70
1113,1,97,6466,0.77
1114,1,65,8709,0.13
1115,8,96,2594,0.72
1116,2,54,3475,0.42
1117,8,57,3269,0.11
1118,8,66,9494,0.34
1119,3,73,4370,0.39
1120,9,62,5514,0.57
1121,8,92,4438,0.93
1122,7,71,7502,0.83
1123,7,89,1291,0.38
1124,8,77,1032,0.75
1125,4,71,3271,0.84
1126,3,63,8245,0.09
1127,5,97,6561,0.40
1128,4,51,9335,0.96
1129,8,59,6174,0.17
1130,7,92,2885,0.01
1131,8,52,8567,0.72
1132,3,75,8118,0.57
1133,3,53,4135,0.77
1134,9,89,5075,0.69
1135,8,56,3486,0.03
1136,4,70,8406,0.66
1137,3,75,6801,0.67
1138,5,64,8083,0.69
1139,1,81,7915,0.83
1140,7,62,6938,0.16
1141,8,81,3186,0.02
1142,8,73,2124,0.04
1143,1,72,4793,0.39
1144,10,56,7808,0.82
1145,1,100,5883,0.54
1146,5,65,9332,0.61
1147,5,73,1042,0.95
1148,4,94,9643,0.60
1149,3,91,7330,0.84
1150,10,92,1883,0.46
1151,5,85,6269,0.27
1152,3,51,7268,0.76
1153,2,81,4344,0.25
1154,2,70,5275,0.44
1155,5,57,1003,0.25
1156,8,97,3797,0.11
1157,2,93,8988,0.98
1158,7,77,6182,0.42
1159,7,94,9615,0.12
1160,10,93,7935,0.69
1161,5,63,1084,0.46
1162,10,91,2969,0.78
1163,4,55,5061,0.92
1164,5,76,1055,0.16
1165,8,100,6644,0.34
1166,5,52,6266,0.14
1167,7,92,4069,0.64
1168,1,73,5706,0.44
1169,4,88,9528,0.28
1170,4,86,1845,0.24
1171,8,63,2941,0.72
1172,3,98,2359,0.95
1173,4,88,5990,0.60
1174,8,79,4474,0.39
1175,8,56,8271,0.11
1176,6,91,9144,0.66
1177,10,75,1794,0.50
1178,10,53,2825,0.40
1179,4,83,2673,0.53
1180,10,95,1278,0.64
1181,10,69,3751,0.83
1182,4,59,9587,0.81
1183,7,92,8168,0.23
1184,5,59,9753,0.56
1185,1,59,2341,0.09
1186,7,54,9169,0.32
1187,9,98,3794,0.05
1188,2,67,6056,0.17
1189,7,74,5574,0.21
1190,6,91,4539,0.27
1191,4,62,3150,0.60
1192,7,99,9139,0.27
1193,1,72,5751,0.82
1194,7,89,6672,0.85
1195,7,84,7447,0.45
1196,7,64,7362,0.18
1197,8,92,2461,0.27
1198,4,94,3557,0.75
1199,6,82,1006,0.94
1200,7,50,5824,0.53
1201,4,95,1078,0.16
1202,8,89,5040,0.63
1203,8,98,2960,0.60
1204,10,99,6385,0.03
1205,10,59,8299,0.62
1206,4,89,5388,0.39
1207,1,85,5534,0.16
1208,8,65,6254,0.08
1209,7,94,6748,0.24
1210,3,55,9575,0.91
1211,8,95,9489,0.14
1212,3,69,3384,0.96
1213,5,50,6850,0.29
1214,1,55,3727,0.55
1215,3,58,6527,0.69
1216,8,83,1769,0.98
1217,6,80,9076,0.92
1218,4,89,2117,0.69
1219,4,89,9258,0.55
1220,10,67,9099,0.29
1221,1,67,4216,0.36
1222,2,69,5016,0.22
1223,9,94,2489,0.32
1224,6,95,2947,0.04
1225,7,60,1451,0.48
1226,6,95,6843,0.93
1227,2,67,6898,0.70
1228,1,99,4357,0.40
1229,10,94,1247,0.53
1230,4,68,7065,0.61
1231,2,84,9498,0.43
1232,9,63,3271,0.28
1233,8,93,2788,0.17
1234,3,72,8873,0.30
1235,9,61,1945,0.63
1236,9,82,8777,0.79
1237,9,55,7073,0.22
1238,8,59,3049,0.80
1239,1,96,1141,0.86
1240,10,84,8335,0.92
1241,4,62,9127,0.53
1242,8,80,2706,0.78
1243,9,67,2009,0.13
1244,1,54,5563,0.47
1245,7,52,7762,0.70
1246,9,69,1954,0.73
1247,4,84,5346,0.85
1248,1,83,9856,0.34
1249,4,82,7060,0.33
1250,8,62,8497,0.43
1251,4,94,3702,0.93
1252,3,63,6926,0.19
1253,1,95,4933,0.19
1254,5,60,8607,0.13
1255,5,51,4763,0.06
1256,6,83,9500,0.76
1257,6,68,6680,0.31
1258,10,77,8529,0.34
1259,8,72,9163,0.24
1260,8,97,4225,0.04
1261,4,96,7594,0.09
1262,3,75,8552,0.97
1263,10,96,7565,0.05
1264,4,50,8246,0.33
1265,4,66,6471,0.66
1266,7,52,4936,0.46
1267,10,87,6105,0.51
1268,10,78,4350,0.25
1269,3,51,2142,0.28
1270,8,85,5284,0.74
1271,10,97,5569,0.07
1272,10,55,6976,0.35
1273,7,51,6562,0.53
1274,4,58,4917,0.35
1275,6,98,3791,0.81
1276,4,85,5872,0.03
1277,1,52,1409,0.54
1278,6,89,9462,0.98
1279,7,66,8785,0.38
1280,3,99,2567,0.84
1281,2,78,2790,0.88
1282,1,62,2588,0.99
1283,4,59,4166,0.70
1284,3,100,6384,0.90
1285,4,61,6640,1.00
1286,9,52,1740,0.31
1287,5,64,2985,0.60
1288,8,96,8182,0.47
1289,2,54,8138,0.89
1290,1,74,2308,0.98
1291,6,51,1979,0.44
1292,10,86,7365,0.79
1293,10,70,9070,0.50
1294,5,89,1372,0.49
1295,4,59,4139,0.02
1296,6,93,8746,0.01
1297,10,58,3737,0.66
1298,4,64,1912,0.19
1299,2,79,6668,0.31
1300,7,72,1112,0.62
1301,6,54,7204,0.31
1302,8,79,3475,1.00
1303,1,80,7330,0.40
1304,9,77,9062,0.10
1305,7,97,7250,0.77
1306,6,59,9660,0.80
1307,1,75,4496,0.23
1308,3,94,9958,0.36
1309,6,67,1201,0.44
1310,7,53,2720,0.90
1311,4,61,1235,0.76
1312,5,53,4775,0.33
1313,10,86,6149,0.18
1314,6,54,6716,0.01
1315,7,93,2386,0.10
1316,10,73,3810,0.55
1317,8,61,8255,0.59
1318,2,97,6428,0.61
1319,6,94,7925,0.79
1320,8,76,3761,0.44
1321,1,52,4601,0.86
1322,4,84,9682,0.41
1323,2,99,5408,0.23
1324,3,97,6475,0.91
1325,4,87,5458,0.57
1326,8,65,1532,0.02
1327,10,69,1558,0.53
1328,10,82,8046,0.72
1329,9,60,8962,0.70
1330,4,65,9401,0.62
1331,5,65,8059,0.97
1332,6,76,4519,0.79
1333,10,88,7000,0.51
1334,3,59,5319,0.02
1335,9,72,6368,0.90
1336,5,54,7134,0.86
1337,6,92,6115,0.70
1338,6,88,2131,0.59
1339,3,75,9167,0.03
1340,8,58,7302,0.69
1341,8,73,6078,0.19
1342,2,92,8768,0.64
1343,10,93,6870,0.49
1344,1,53,2498,0.75
1345,2,59,1841,0.91
1346,4,63,8101,0.12
1347,9,99,5661,0.25
1348,1,85,3476,0.69
1349,10,73,3946,0.79
1350,8,64,7725,0.34
1351,7,53,7396,0.70
1352,3,84,3936,0.47
1353,9,61,5030,0.03
1354,5,62,6151,0.16
1355,9,81,9327,0.28
1356,8,54,6225,0.98
1357,8,78,9707,0.04
1358,1,88,7295,0.12
1359,7,87,3548,0.58
1360,2,80,1041,0.67
1361,7,56,5182,0.56
1362,9,86,1916,0.92
1363,1,66,8646,0.34
1364,5,55,3029,0.76
1365,1,56,7510,0.02
1366,6,51,5989,0.86
1367,8,82,3341,0.32
1368,10,84,1170,0.63
1369,4,84,2576,0.94
1370,1,92,4881,0.93
1371,9,76,4585,0.49
1372,6,90,4679,0.65
1373,1,63,7345,0.32
1374,2,88,1141,0.90
1375,8,84,2940,0.75
1376,1,71,6972,0.91
1377,1,84,1155,0.90
1378,9,62,2087,0.24
1379,3,64,9991,0.19
1380,2,86,7257,0.38
1381,7,79,6670,0.18
1382,2,54,3282,0.21
1383,6,50,6837,0.08
1384,5,84,3790,0.70
1385,10,64,2025,0.19
1386,5,51,1806,0.36
1387,8,87,5668,0.24
1388,1,86,5457,0.16
1389,10,89,4060,0.43
1390,8,94,6689,0.63
1391,7,81,6589,0.79
1392,5,51,6919,0.81
1393,4,72,4123,0.51
1394,1,58,8575,0.36
1395,10,57,9187,0.44
1396,8,96,4957,0.67
1397,7,95,5998,0.71
1398,1,62,6553,0.82
1399,9,60,8127,0.98
1400,3,55,2557,0.87
1401,6,74,6288,0.60
1402,7,55,3111,0.20
1403,10,60,4312,0.70
1404,2,89,9491,0.61
1405,6,57,9563,0.93
1406,9,91,8270,0.65
1407,4,99,6055,0.37
1408,3,55,9367,0.43
1409,9,71,4992,0.04
1410,3,97,8841,0.57
1411,8,50,1838,0.08
1412,5,88,6250,0.40
1413,7,93,4553,0.98
1414,7,54,2760,0.31
1415,8,59,9156,0.62
1416,2,54,7061,0.72
1417,1,76,3581,0.65
1418,1,83,9734,0.68
1419,4,98,8080,0.50
1420,2,87,5857,0.83
1421,9,96,2031,0.16
1422,8,60,6897,0.51
1423,6,51,3903,0.87
1424,2,77,8626,0.32
1425,10,78,7445,0.53
1426,1,76,3204,0.35
1427,7,73,9521,0.99
1428,1,66,2938,0.25
1429,7,60,2557,0.10
1430,7,67,6987,0.61
1431,4,66,3763,0.82
1432,9,72,5500,0.23
1433,5,87,3377,0.86
1434,10,85,7295,0.63
1435,1,62,5137,0.02
1436,8,62,4920,0.37
1437,8,54,1857,0.43
1438,6,82,7879,0.60
1439,3,72,7610,0.83
1440,8,67,7576,0.19
1441,9,75,1684,0.64
1442,2,64,2360,0.82
1443,8,65,3828,0.59
1444,9,70,9763,0.89
1445,5,51,1980,0.25
1446,6,64,5100,0.49
1447,10,85,7116,0.79
1448,6,63,6535,0.50
1449,2,89,5797,0.04
1450,8,80,6921,0.87
1451,3,57,3198,0.25
1452,8,93,8804,0.57
1453,2,96,3251,0.97
1454,4,51,7909,0.58
1455,2,60,2791,0.68
1456,3,84,5603,0.11
1457,2,72,8154,0.68
1458,2,53,7074,0.19
1459,1,51,6198,0.23
1460,2,58,9056,0.94
1461,2,66,9356,0.83
1462,1,63,4879,0.13
1463,1,62,2348,0.65
1464,7,83,6415,0.81
1465,1,88,6178,0.97
1466,7,54,8094,0.33
1467,3,100,1869,0.02
1468,3,59,2018,0.16
1469,8,79,3103,0.70
1470,8,90,2011,0.49
1471,8,55,7269,0.14
1472,10,57,6602,0.18
1473,10,79,4020,0.33
1474,4,95,8266,0.47
1475,6,76,2799,0.10
1476,8,81,1716,0.96
1477,3,96,4421,0.22
1478,2,60,6473,0.52
1479,9,68,4496,0.53
1480,4,52,3099,0.27
1481,1,59,4793,0.40
1482,6,86,1731,0.25
1483,8,69,1440,0.08
1484,4,92,4080,0.50
1485,10,57,2035,0.89
1486,2,55,2426,0.73
1487,10,91,4992,0.86
1488,9,63,2090,0.75
1489,2,56,9470,0.51
1490,3,76,9614,0.95
1491,3,81,7620,0.88
1492,2,58,7577,0.40
1493,3,88,8174,0.11
1494,7,66,5118,0.99
1495,1,50,7018,0.15
1496,9,88,2972,0.82
1497,6,65,1130,0.42
1498,10,60,9819,0.52
1499,3,79,4229,0.06
1500,2,93,4251,0.20
1501,4,85,8670,0.24
1502,1,91,7920,0.81
1503,3,79,9869,0.51
1504,2,100,1943,0.69
1505,7,58,1686,0.21
1506,3,78,1979,0.78
1507,8,66,7530,0.70
1508,6,63,7118,0.69
1509,6,89,6617,0.34
1510,3,50,2992,0.68
1511,8,76,3446,0.41
1512,4,95,9614,0.99
1513,8,56,2953,0.32
1514,9,61,4123,0.10
1515,3,84,9957,0.14
1516,9,98,9580,0.54
1517,2,87,8183,0.93
1518,6,75,1580,0.34
1519,3,93,8986,0.32
1520,8,75,1335,0.49
1521,2,87,5239,0.06
1522,7,57,5212,0.20
1523,4,67,2127,0.91
1524,8,76,4999,0.83
1525,2,88,8390,0.64
1526,1,69,2235,0.04
1527,2,53,1615,0.64
1528,3,81,5041,0.16
1529,5,77,1637,0.03
1530,8,90,5858,0.70
1531,2,77,9325,0.57
1532,4,55,2071,0.92
1533,2,97,9667,0.37
1534,4,53,9130,0.84
1535,9,68,7639,0.93
1536,4,87,5952,0.49
1537,9,50,3833,0.49
1538,7,86,6990,1.00
1539,7,88,3923,0.47
1540,6,50,9376,0.92
1541,6,97,8662,0.99
1542,10,64,9576,0.27
1543,5,81,3555,0.45
1544,3,68,3499,0.80
1545,2,92,2874,0.91
1546,1,98,1877,0.55
1547,3,82,8190,0.14
1548,10,70,3806,0.21
1549,9,54,9288,0.81
1550,1,74,3583,0.71
1551,4,56,9127,0.45
1552,5,57,4410,0.94
1553,7,86,4275,0.76
1554,5,79,1154,0.69
1555,4,52,2252,0.17
1556,3,77,9837,0.78
1557,5,86,6568,0.04
1558,3,61,8249,0.20
1559,10,90,3054,0.73
1560,7,89,9280,0.78
1561,4,78,2280,0.88
1562,6,87,1887,0.30
1563,2,60,6581,0.34
1564,9,98,2533,0.28
1565,8,56,8423,0.98
1566,2,98,7872,0.16
1567,8,83,8102,0.63
1568,7,68,3666,0.58
1569,2,64,3504,0.88
1570,3,66,2161,0.75
1571,8,54,2725,0.89
1572,2,82,9576,0.63
1573,2,98,8412,0.29
1574,9,50,6676,0.97
1575,10,56,9600,0.82
1576,6,97,5460,0.20
1577,7,75,7054,0.62
1578,9,52,9591,0.91
1579,3,62,3057,0.26
1580,10,90,8179,0.84
1581,2,82,9575,0.22
1582,1,52,9302,0.55
1583,7,70,2487,0.00
1584,6,94,9039,0.83
1585,7,89,1497,0.13
1586,7,61,2712,0.08
1587,5,100,9874,0.67
1588,3,69,5632,0.21
1589,10,98,2019,0.17
1590,4,58,9635,0.24
1591,9,87,9463,0.86
1592,2,59,3392,0.31
1593,7,51,4186,0.40
1594,8,88,9613,0.19
1595,7,69,5924,0.07
1596,8,56,4387,0.22
1597,7,69,1599,0.05
1598,5,57,5194,0.17
1599,3,88,1893,0.98
1600,5,68,8980,0.14
1601,4,66,9939,0.15
1602,1,77,3145,0.96
1603,10,81,2247,0.94
1604,7,70,6091,0.82
1605,7,90,7005,0.08
1606,5,59,3530,0.11
1607,1,69,6457,0.02
1608,10,51,3211,0.77
1609,2,69,3680,0.75
1610,7,81,5344,0.50
1611,7,87,1525,0.02
1612,10,54,6858,0.44
1613,10,66,8378,0.47
1614,2,53,8966,0.78
1615,9,61,5398,0.26
1616,8,52,7341,0.44
1617,6,82,2982,0.96
1618,3,55,5300,0.50
1619,7,53,5242,0.78
1620,1,95,9892,0.81
1621,3,89,7258,0.98
1622,6,86,5778,0.83
1623,8,68,5006,0.72
1624,9,83,7871,0.84
1625,5,73,7816,0.59
1626,7,61,6843,0.07
1627,7,56,7963,0.81
1628,3,86,1838,0.47
1629,8,80,8278,0.46
1630,2,61,2541,0.61
1631,8,68,7919,0.49
1632,5,90,4017,0.27
1633,9,61,6359,0.68
1634,6,77,7748,0.24
1635,4,52,4712,0.49
1636,9,80,6817,0.96
1637,8,71,9043,0.24
1638,7,82,3767,0.14
1639,1,99,5536,0.71
1640,7,61,9778,0.92
1641,8,92,4327,0.47
1642,3,100,6793,0.25
1643,2,63,1382,0.76
1644,4,63,9916,0.09
1645,4,93,2389,0.35
1646,6,82,9310,0.45
1647,5,57,5282,0.96
1648,9,68,2335,0.99
1649,5,54,8984,0.22
1650,3,66,7611,0.63
1651,9,62,7423,0.02
1652,2,100,9259,0.93
1653,2,52,5453,0.03
1654,6,84,4099,0.52
1655,9,96,5977,0.21
1656,3,63,6399,0.68
1657,3,67,9247,0.58
1658,3,69,3404,0.74
1659,2,57,1711,0.37
1660,2,59,3339,0.24
1661,6,71,3490,0.26
1662,10,96,4611,0.54
1663,10,60,7177,0.72
1664,1,50,1719,0.20
1665,2,70,4227,0.98
1666,8,77,3038,0.24
1667,5,51,4100,0.98
1668,1,50,5313,0.79
1669,1,79,8913,0.30
1670,8,95,3267,0.14
1671,5,78,3726,0.95
1672,7,77,5412,0.75
1673,10,71,3232,0.87
1674,3,98,9245,0.15
1675,6,74,1572,0.79
1676,2,63,9252,0.73
1677,4,62,2522,0.84
1678,4,62,5942,0.73
1679,6,74,4978,0.88
1680,4,91,4625,0.01
1681,4,95,4275,0.77
1682,9,61,8048,0.61
1683,7,68,9770,0.67
1684,2,56,5070,0.91
1685,2,64,9814,0.36
1686,6,84,8669,0.04
1687,8,54,5289,0.13
1688,6,94,8591,0.35
1689,10,93,8519,0.45
1690,3,94,1871,0.07
1691,8,74,1035,0.93
1692,10,97,4149,0.03
1693,9,85,9175,0.90
1694,5,96,3609,0.69
1695,1,80,2682,0.71
1696,8,96,3597,0.04
1697,6,70,7455,0.11
1698,7,90,7524,0.55
1699,7,50,4975,0.61
1700,5,68,6645,0.03
1701,1,60,3171,0.84
1702,8,94,3512,0.36
1703,10,100,4229,0.75
1704,10,86,7009,0.64
1705,4,50,5234,0.66
1706,1,71,7597,0.99
1707,5,66,2270,0.36
1708,6,78,5963,0.92
1709,3,52,1277,0.14
1710,10,72,5581,0.14
1711,3,56,6956,0.07
1712,6,74,3811,0.99
1713,2,50,6917,0.88
1714,10,76,1685,0.85
1715,4,71,9307,0.16
1716,10,85,6753,0.87
1717,10,50,8726,0.44
1718,10,95,4315,0.71
1719,3,98,3400,0.40
1720,5,68,6576,0.51
1721,7,96,4945,0.01
1722,7,91,3369,0.36
1723,6,66,9762,0.52
1724,4,68,1653,0.82
1725,5,90,4960,0.09
1726,4,64,2835,0.57
1727,2,90,3107,0.23
1728,9,72,3257,0.28
1729,6,67,8292,0.08
1730,10,57,4817,0.84
1731,7,95,7302,0.00
1732,6,55,4761,0.45
1733,1,92,7707,0.25
1734,2,75,8299,0.69
1735,5,77,4776,0.90
1736,4,89,6835,0.28
1737,6,69,9123,0.14
1738,6,100,1745,0.23
1739,4,66,6150,0.88
1740,1,98,5690,0.64
1741,8,81,2864,0.43
1742,1,86,3331,0.40
1743,3,77,8095,0.59
1744,7,59,3666,0.23
1745,7,68,6500,0.59
1746,6,57,8516,0.13
1747,3,53,1217,0.24
1748,8,97,4453,0.16
1749,4,69,7188,0.90
1750,9,82,4750,0.97
1751,1,95,3637,0.72
1752,6,93,4355,0.14
1753,2,58,1800,0.35
1754,7,63,3822,0.48
1755,7,90,2740,0.69
1756,7,100,3851,0.91
1757,8,75,7232,0.28
1758,9,94,6998,0.08
1759,2,94,5967,0.97
1760,10,97,7150,0.13
1761,7,82,5371,0.02
1762,9,57,9594,0.67
1763,2,92,1133,0.84
1764,10,61,5384,0.19
1765,3,61,8902,0.23
1766,6,100,7574,0.61
1767,10,55,3654,0.75
1768,4,86,5118,0.58
1769,9,70,3416,0.88
1770,5,79,4299,0.46
1771,7,94,9126,0.98
1772,1,88,7578,0.64
1773,1,78,7670,0.82
1774,6,90,3230,0.47
1775,7,52,3997,0.82
1776,9,95,2561,0.36
1777,3,84,2500,0.14
1778,1,80,1589,0.93
1779,5,79,9036,0.12
1780,1,62,4870,0.51
1781,8,77,3903,0.53
1782,1,55,2007,0.62
1783,2,89,3082,0.65
1784,3,100,8376,0.89
1785,10,65,8439,0.52
1786,8,88,1593,0.54
1787,2,82,2289,0.20
1788,1,72,5575,0.64
1789,3,99,4767,0.25
1790,4,69,5685,0.29
1791,4,87,2506,0.90
1792,3,79,4189,0.37
1793,6,50,4084,0.93
1794,6,78,6938,0.12
1795,7,59,1023,0.19
1796,10,79,4431,0.53
1797,7,99,5284,0.69
1798,8,97,5235,0.22
1799,2,57,7373,0.91
1800,10,67,7942,0.79
1801,3,75,6464,0.90
1802,8,50,9959,0.25
1803,1,60,5143,0.15
1804,9,84,4329,0.26
1805,5,56,6860,0.50
1806,5,60,2830,0.76
1807,1,69,9459,0.39
1808,10,83,5483,0.51
1809,7,89,5784,0.79
1810,7,58,2944,0.66
1811,2,85,1674,0.12
1812,4,84,6379,0.48
1813,4,71,5958,0.52
1814,9,92,3379,0.30
1815,6,64,2139,0.43
1816,1,80,4070,0.03
1817,9,84,2794,0.91
1818,1,91,1000,0.77
1819,9,97,2156,0.87
1820,8,89,6766,0.90
1821,1,85,9510,0.25
1822,5,78,8915,0.77
1823,8,94,4868,0.76
1824,6,73,6883,0.49
1825,10,58,6175,0.68
1826,4,71,6287,0.72
1827,9,59,5311,0.43
1828,9,65,6053,0.50
1829,4,77,6958,0.22
1830,5,68,7306,0.71
1831,1,52,5195,0.94
1832,9,58,5478,0.97
1833,10,94,4116,0.38
1834,6,52,1641,0.70
1835,8,67,6553,0.01
1836,6,83,5857,0.01
1837,8,71,8356,0.57
1838,4,81,7530,0.71
1839,7,61,8542,0.94
1840,7,92,5890,0.36
1841,9,70,8240,0.90
1842,3,57,3216,0.06
1843,4,73,3867,0.08
1844,3,58,1029,0.80
1845,10,94,2900,0.14
1846,2,65,2405,0.01
1847,2,94,9639,0.85
1848,1,100,3734,0.01
1849,7,86,1371,0.20
1850,5,51,4628,0.86
1851,6,54,4021,0.41
1852,1,89,4758,0.21
1853,1,77,4469,0.49
1854,6,58,5212,0.05
1855,8,81,6937,0.37
1856,8,91,9759,0.81
1857,10,84,3295,0.61
1858,4,78,3023,0.33
1859,1,72,1434,0.23
1860,6,75,1152,0.99
1861,8,61,1347,0.44
1862,8,72,6290,0.76
1863,1,52,1883,0.15
1864,3,56,5013,0.59
1865,7,100,6417,0.32
1866,10,68,6944,0.86
1867,1,82,6686,0.02
1868,5,65,5732,0.15
1869,8,99,9012,0.17
1870,5,84,6901,0.65
1871,7,51,3700,0.17
1872,10,93,7653,0.71
1873,5,97,2704,0.12
1874,7,75,3998,0.22
1875,4,63,8481,0.73
1876,5,53,3030,0.52
1877,8,95,4167,0.89
1878,2,77,5858,0.10
1879,3,53,6457,0.16
1880,7,60,5559,0.55
1881,6,97,9654,0.65
1882,1,96,3210,0.97
1883,9,95,1846,0.36
1884,7,97,1864,0.25
1885,8,55,8566,0.03
1886,9,54,3203,0.24
1887,8,96,2632,0.86
1888,1,58,8760,0.57
1889,6,68,3960,0.92
1890,4,61,9307,0.60
1891,8,97,4472,0.57
1892,8,98,3877,0.27
1893,8,93,9412,0.64
1894,2,59,7460,0.77
1895,4,56,6883,0.00
1896,1,87,9559,0.28
1897,10,67,1464,0.97
1898,10,97,6123,0.86
1899,7,57,7170,0.29
1900,8,98,4119,0.79
1901,7,74,7176,0.09
1902,2,84,5934,0.50
1903,1,72,7546,0.72
1904,2,80,4670,0.69
1905,10,71,5806,0.90
1906,3,63,9248,0.43
1907,2,64,5649,0.09
1908,6,91,3750,0.37
1909,3,95,8992,0.93
1910,6,57,9119,0.77
1911,7,74,3737,0.72
1912,4,50,7937,0.46
1913,7,72,1842,0.90
1914,8,93,9443,0.57
1915,1,70,6861,0.29
1916,10,51,5094,0.91
1917,3,89,7513,0.16
1918,3,81,8898,0.10
1919,1,67,5065,0.82
1920,5,93,2494,0.26
1921,7,55,9301,0.20
1922,5,89,1016,0.48
1923,6,66,2113,0.86
1924,4,51,3431,0.81
1925,1,86,8012,0.18
1926,4,83,4353,0.47
1927,10,69,7714,0.33
1928,1,53,9124,0.68
1929,7,83,1517,0.07
1930,8,58,9772,0.62
1931,9,88,7404,0.45
1932,3,65,6251,0.46
1933,5,92,9760,0.48
1934,1,76,3454,0.99
1935,7,78,9666,0.06
1936,7,83,8392,0.26
1937,1,61,3884,0.68
1938,2,87,2667,0.05
1939,1,77,9716,0.02
1940,3,81,5698,0.31
1941,6,95,2625,0.60
1942,4,67,5650,0.26
1943,4,84,3088,0.13
1944,2,86,1966,0.56
1945,6,88,8340,0.44
1946,2,60,9095,0.12
1947,2,100,8623,0.97
1948,3,63,8623,0.10
1949,2,62,7488,1.00
1950,1,71,3851,0.52
1951,2,91,6076,0.51
1952,4,72,3422,0.82
1953,4,75,9728,0.18
1954,10,84,5351,0.69
1955,3,55,6163,0.75
1956,4,94,8461,0.67
1957,4,51,3662,0.69
1958,5,75,6806,0.71
1959,8,96,4805,0.07
1960,3,70,3541,0.25
1961,9,90,7773,0.10
1962,7,54,7794,0.42
1963,1,95,5065,0.61
1964,6,89,9120,0.37
1965,3,59,6488,0.11
1966,8,65,6231,0.81
1967,9,98,1081,0.26
1968,5,50,1260,0.60
1969,4,74,1138,0.59
1970,10,97,8476,0.92
1971,10,87,9221,0.12
1972,6,85,8729,0.06
1973,5,54,8858,0.30
1974,10,87,5653,0.88
1975,2,99,5962,0.70
1976,4,89,1656,0.69
1977,9,98,9500,0.54
1978,4,88,4134,0.06
1979,7,81,5315,0.84
1980,10,67,9621,0.32
1981,8,54,5310,0.81
1982,7,71,5693,0.32
1983,8,55,5516,0.33
1984,9,59,9685,0.24
1985,5,88,7565,0.47
1986,1,98,2027,0.39
1987,2,52,7901,0.34
1988,8,52,2256,0.01
1989,4,97,1307,0.91
1990,7,72,9139,0.46
1991,3,52,8129,0.71
1992,3,56,8978,0.96
1993,1,64,4978,0.96
1994,9,95,2943,0.33
1995,2,81,8935,0.99
1996,5,93,3520,0.33
1997,4,60,9863,0.74
1998,5,76,4181,0.01
1999,8,78,9347,0.47
2000,9,69,2017,0.75
2001,2,92,1194,0.82
2002,5,91,7645,0.31
2003,3,100,3333,0.93
2004,1,73,6400,0.84
2005,5,90,5887,0.65
2006,9,81,7450,0.04
2007,1,83,3841,0.70
2008,8,69,2577,0.77
2009,6,53,2519,0.54
2010,1,70,4631,0.03
2011,6,85,6852,0.47
2012,7,57,6008,0.34
2013,9,91,1372,0.68
2014,5,67,8841,0.83
2015,2,83,6957,0.19
2016,5,66,4799,0.11
2017,9,59,4274,0.32
2018,8,78,2237,0.44
2019,4,94,9135,0.72
2020,5,51,6376,0.04
2021,6,75,7423,0.41
2022,5,59,1863,0.50
2023,7,70,7754,0.46
2024,9,89,9745,0.16
2025,1,76,1813,0.61
2026,10,68,3015,0.59
2027,8,93,1138,0.44
2028,8,66,2082,0.97
2029,5,80,7531,0.83
2030,9,75,9030,0.41
2031,10,54,1049,0.27
2032,10,84,3266,0.14
2033,3,72,8355,0.16
2034,10,98,3938,0.38
2035,10,83,4194,0.41
2036,8,91,3873,0.20
2037,1,60,4161,1.00
2038,1,61,2088,0.58
2039,7,65,5656,0.64
2040,2,98,6292,0.91
2041,8,79,7302,0.30
2042,6,75,9470,0.55
2043,4,52,5721,0.15
2044,3,54,2898,0.64
2045,5,93,3564,0.97
2046,2,68,7302,0.58
2047,9,78,7232,0.48
2048,8,52,8690,0.17
2049,8,100,5107,0.74
2050,9,65,3409,0.05
2051,5,53,3061,0.57
2052,8,80,8809,0.57
2053,6,76,7068,0.06
2054,8,72,5490,0.18
2055,6,71,3191,0.46
2056,4,94,8848,0.33
2057,2,65,9224,0.45
2058,10,89,5234,0.72
2059,5,69,3747,0.97
2060,8,53,3597,0.16
2061,9,74,4994,0.26
2062,9,95,1608,0.88
2063,5,89,8957,0.17
2064,5,67,4877,0.25
2065,7,60,9355,0.21
2066,4,64,9106,0.37
